Diagnosis,Section,Section_Hint,Esophagus,GE Junction,Stomach,Duodenum,,,,,Default_Sub_Location,Subsection,Subsection_Hint,Conditional_on,Multi_Attribute,Default_Attr,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
Gastric Varices,Intervention Performed,,,,x,,,,,,,,,,,,Glue Injection,Thrombin Injection,Balloon tamponade,Hemospray,None,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Agent Used,,Section(Intervention Performed=Glue Injection),,,N-butyl-2-cyanoacrylate,2-octyl-cyanoacrylate,Histoacryl,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Dilution,,Section(Intervention Performed=Glue Injection),,,Undiluted,1:1 with Lipiodol,Other ratio int_box:int_box,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Number of Injection Sites,,Section(Intervention Performed=Glue Injection),,,Single,2,3,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Volume Per Injection,,Section(Intervention Performed=Glue Injection),,,<0.5 mL,0.5–0.9 mL,1–1.9 mL,2 mL,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Total Volume Delivered,,Section(Intervention Performed=Glue Injection),,,<1 mL,1–1.9 mL,2–2.9 mL,3 mL,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Immediate solidification seen,,Section(Intervention Performed=Glue Injection),,,Yes,No,,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Thrombin Source,,Section(Intervention Performed=Thrombin Injection),,,Human thrombin,Bovine thrombin,Recombinant thrombin,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Concentration,,Section(Intervention Performed=Thrombin Injection),,,250 IU/mL,500 IU/mL,Other: int_box IU/mL,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Diluent,,Section(Intervention Performed=Thrombin Injection),,,Normal saline,Manufacturer-provided buffer,,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Post-Intervention Findings,,,x,,Adequate obliteration,Partial treatment,Residual large varices,Treated varix appears hard/solid,No complications,,,,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Color / Surface,,,x,,Diffuse erythema,Patchy erythema,Atrophic-appearing mucosa,Edematous mucosa,Cyanotic mucosa (congestive pattern),,,,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Patterns,,,x,,Mosaic / snake-skin pattern,Spotty red spots,Confluent red areas,Cherry-red spots (Venous congestion),Prominent congested vessels (non-telangiectatic),Scalloped Mucosa,Fine red punctate lesions,Black-brown spots,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Erosions / Injury,,,x,,Multiple erosions,Friable mucosa,Contact bleeding,,,,,,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Secretions / Exudate,,,x,,Bile staining / bile pooling,Mucus adherent film,Fibrinous patches,,,,,,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Folds,,,x,,Normal,Thickened folds,,,,,,,,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Bleeding Pattern,,,x,,No bleeding,Diffuse oozing,Focal active bleeding,Adherent clot,Oozing from mucosa,Oozing from red spots,,Stigmata of recent bleed,Fresh blood in stomach,,,
Gastropathy,Endoscopic Descriptors,,,,x,,,,,,,Extent / Distribution Pattern,,,x,,Focal,Multifocal,Diffuse whole-stomach involvement,Predominantly body/fundus,Antral predominant,,,,,,,
Gastropathy,Likely Etiology,"Reactive / chemical gastropathy (bile reflux): bile staining, foveolar hyperemia, antral predominance
NSAID-related gastropathy: numerous small erosions, clean-based erosions, antral > body involvement
Stress-related gastropathy: diffuse erythema + erosions in critically ill/ICU patients
Radiation gastropathy: patchy telangiectasia, pallor, friability, known gastric radiation field
Congestive / venous gastropathy: dusky mucosa, swollen congested folds, cherry-red spots, cardiac/venous congestion
H. pylori–associated gastritis pattern: mottled erythema, nodularity, loss of RAC, antral dominance
Not assigning etiology: purely descriptive report — recommended when uncertain",,,x,,,,,,,,,,,,Portal hypertensive gastropathy (PHG),Reactive / chemical gastropathy (bile reflux),NSAID-related gastropathy,Stress-related gastropathy,Radiation gastropathy,Congestive / venous gastropathy,H. pylori–associated gastritis pattern,Not assigning etiology,,,,
Gastropathy,Likely Etiology,"Mild PHG  :- mosaic (“snake-skin”) pattern only, without red spots or bleeding
Severe PHG :- mosaic pattern plus red/cherry-red spots (numerous or confluent) and/or active oozing/bleeding (or presence of diffuse friability)",,,x,,,,,,,,,Section(Likely Etiology=Portal hypertensive gastropathy (PHG)),,,,,,,,,,,,,,
Gastropathy,Intervention,,,,x,,,,,,,,,,x,,Hemostasis (APC / coagulation),Hemospray,,,,,,,,,,
Gastropathy,Intervention,,,,x,,,,,,,Post-Procedure Notes,,,x,,No complications,Minor contact bleeding,Significant oozing controlled,Recommend medical therapy optimization,,,,,,,,
GAVE,Pattern Type,GAVE_3in1_390x900.png,,,x,,,,,,,,,,,,Classic linear “watermelon” stripes,Punctate pattern,Nodular GAVE,,,,,,,,,
GAVE,Active Bleeding Status,,,,x,,,,,,,,,,,,Yes,No,,,,,,,,,,
GAVE,Extent / Distribution,,,,x,,,,,,,,,,x,,Focal antral region,Diffuse antral involvement,Multifocal linear pattern,Proximal extension,,,,,,,,
GAVE,Intervention,,,,x,,,,,,,,,,x,,No treatment,Argon plasma coagulation (APC),Radiofrequency ablation,Endoscopic band ligation,Heater probe,Hemostatic powder,,,,,,
GAVE,Intervention,,,,x,,,,,,,Post-Procedure Notes,,,x,,Treated lesions visibly coagulated,Partial treatment (multiple sessions planned),No complications,Minor contact bleeding,,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Mucosal appearance,,,,,Normal,Erythema,Friability,Edema,,,,,,,,
GERD,Esophageal Findings,GERD-Esophagitis-LA_800x285.jpg,x,x,,,,,,,,Esophagitis LA classification,,,,,None,LA-A,LA-B,LA-C,LA-D,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Contact bleeding,,,,,Yes,No,,,,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Exudates,,,,,Yes,No,,,,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Mucosal breaks,,,,,Yes,No,,,,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Length,,Subsection(Mucosal breaks=Yes),,,<5 mm,5–10 mm,>10 mm,,,,,,,,,
GERD,Esophageal Findings,,x,x,,,,,,,,Continuity,,Subsection(Mucosal breaks=Yes),,,Single,Multiple,,,,,,,,,,
GERD,Z-Line / Columnar Mucosa,,x,x,,,,,,,,Irregular Z-line length,,,,,<1 cm,≥1 cm,,,,,,,,,,
GERD,Z-Line / Columnar Mucosa,,x,x,,,,,,,,Columnar mucosa tongues,,,,,None,Present (<1 cm),Present (≥1 cm),,,,,,,,,
GERD,Reflux-Related Complications,,x,x,,,,,,,,,,,x,,Peptic stricture,Ulcer at GEJ,Schatzki ring,Polyp/Inflammatory polyp at EGJ,,,,,,,,
Glycogen Nodules,Number,,x,,,,,,,,,,,,,,Few,Multiple,Diffuse,,,,,,,,,
Glycogen Nodules,Appearance,Glycogen_Nodule_400x350.png,x,,,,,,,,,,,,,,Small whitish nodules,"Smooth, round, well-defined",,,,,,,,,,
Graft V Host Disease,Overall Severity,,x,x,x,x,,,,,,,,,,,Mild,Moderate,Severe,,,,,,,,,
Graft V Host Disease,Mucosal Pattern,,x,x,x,x,,,,,,,,,x,,Patchy erythema,Diffuse erythema,Edema,Loss of vascular pattern,Mosaic appearance,Atrophy,,,,,,
Graft V Host Disease,Surface Lesions,,x,x,x,x,,,,,,,,,x,,Scattered erosions,Multifocal erosions,Superficial ulcerations,Deep ulcerations,Exudate,Friability,Mucosal denudation,,,,,
Graft V Host Disease,Lumen / Fold Appearance,,x,x,x,x,,,,,,,,,x,,Edematous folds,Flattened folds,Narrowed segments,,,,,,,,,
Graft V Host Disease,Bleeding Features,,x,x,x,x,,,,,,,,,,,No bleeding,Contact bleeding,Diffuse oozing,Adherent clots,,,,,,,,
Graft V Host Disease,Distribution Pattern,,x,x,x,x,,,,,,,,,,,Focal,Patchy,Multifocal,Diffuse,,,,,,,,
Graft V Host Disease,Biopsy,,x,x,x,x,,,,,,,,,x,,Multiple biopsies from affected areas,Biopsy-Normal mucosa (for GVHD staging),Biopsy avoided,,,,,,,,,
Graft V Host Disease,Hemostasis performed,,x,x,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Graft V Host Disease,Post-Procedure Notes,,x,x,x,x,,,,,,,,,x,,No complications,Minor bleeding post-biopsy,Limited visualization due to blood/slough,Recommend correlation with histology,Suggest repeat endoscopy based on severity,,,,,,,
Hiatus Hernia,Type,hiatus_hernia_800x625.png,,x,,,,,,,,,,,,,I - Sliding Hiatus Hernia,II - Paraesophageal Hernia,III - Mixed/Combined,IV - Giant Paraesophageal Hernia,,,,,,,,
Hiatus Hernia,Landmarks,,,x,,,,,,,,Diaphragmatic pinch,,,,,int_box cm from incisors,,,,,,,,,,,
Hiatus Hernia,Landmarks,,,x,,,,,,,,GE junction identified,,,,,int_box cm from incisors,,,,,,,,,,,
Hiatus Hernia,Size,,,x,,,,,,,,,,,,,Small (2-3 cm),Medium (3-5 cm),Large (>5 cm),,,,,,,,,
Hills hiatus,Hills Grade,Hills_hiatus_800x450.webp,,x,,,,,,,,,,,,,I,II,III,IV,,,,,,,,
H. Pylori,Status,,,,x,,,,,,,,,,,,Suspected H. pylori (endoscopic appearance or clinical),Confirmed H. pylori (prior positive test),Post-eradication follow-up / test of cure,Not suspected / unrelated,,,,,,,,
H. Pylori,Areas Involved,,,,x,,,,,,,,,,x,,Antrum,Corpus/body,Fundus,Pangastric,Patchy,,,,,,,
H. Pylori,Endoscopic appearance,"Antral nodularity --> highly suggestive
Diffuse erythema --> antrum ± body
Multiple small erosions --> antral
Atrophic patches / intestinal metaplasia --> possible chronic infection",,,x,,,,,,,,,,x,,Normal,Antral nodularity,Erythema,Prominent gastric folds,Mosaic / patchy redness,Edematous mucosa,Multiple small erosions,Atrophic patches / intestinal metaplasia,Other (describe): alphanum_box,,,
H. Pylori,Biopsy,"Sydney protocol:
Take ≥2 antral biopsies (lesser curvature + greater curvature)
Take ≥1 corpus/body biopsy. 
Label jars separately — antrum vs corpus",,,x,,,,,,,,,,,,Yes,No,,,,,,,,,,
H. Pylori,Rapid urease test,,,,x,,,,,,,,,,,,Yes,No,,,,,,,,,,
H. Pylori,NBI Apperance,,,,x,,,,,,,,,,,,Irregular mucosal/vascular pattern in antrum (suggests intestinal metaplasia),Patchy brownish/red areas with altered microvascularity (Suspected- active gastritis),Lacy/mesh microvascular pattern (Suspected-chronic changes),Regular collecting venules visible (RAC present)  suggests H. pylori negative,,,,,,,,
Inlet Patch,Inlet Patch Location,,x,,,,,,,,,,,,x,,Cervical esophagus,Proximal esophagus,Upper esophageal sphincter region,,,,,,,,,
Inlet Patch,Number,,x,,,,,,,,,,,,,,Single,Multiple,,,,,,,,,,
Inlet Patch,Segment length/size,,x,,,,,,,,,,,,,,<5 mm,5-10 mm,>10 mm,Measured int_box mm,,,,,,,,
Inlet Patch,Morphology,,x,,,,,,,,,Patch shape,,,,,Round,Oval,Irregular,,,,,,,,,
Inlet Patch,Morphology,,x,,,,,,,,,Surface pattern,,,,,Smooth,Granular,Nodular,Velvety,,,,,,,,
Inlet Patch,Morphology,,x,,,,,,,,,Color,,,,,Salmon-colored,Pinkish,Reddish,,,,,,,,,
Inlet Patch,Morphology,,x,,,,,,,,,Borders,,,,,Well-demarcated,Ill-defined,,,,,,,,,,
Inlet Patch,Associated Features,,x,,,,,,,,,,,,x,,Erosions,Ulcer,Polypoid change,Elevated margin,Mucus pooling,Visible vessels / ectatic vessels,Bleeding,,,,,
Inlet Patch,Associated Features,,x,,,,,,,,,Bleeding,,Section(Associated Features=Bleeding),,,Active,Oozing,None,,,,,,,,,
Inlet Patch,Biopsy,,x,,,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Inlet Patch,Biopsy,,x,,,,,,,,,Indication,,Subsection(Taken=Yes),,,Atypical appearance,Symptoms,Rule out dysplasia,Not indicated,,,,,,,,
Inlet Patch,Symptoms,,x,,,,,,,,,,,,x,,Globus sensation,Dysphagia,Chronic cough / throat symptoms,,,,,,,,,
Linitis Plastica,Wall Characteristics,,,,x,,,,,,,,,,x,,"Rigid, nondistensible wall",“Leather bottle” appearance,Uniform thickening,Narrowed lumen,Poor expansibility despite maximal insufflation,,,,,,,
Linitis Plastica,Fold Appearance,,,,x,,,,,,,,,,x,,Flattened folds,Thickened fixed folds,Loss of normal rugal pattern,"Broad, featureless folds",Poor peristaltic movement,,,,,,,
Linitis Plastica,Surface Features,,,,x,,,,,,,,,,x,,Smooth mucosa,Subtle nodularity,Pale mucosa,Patchy erythema,Erosions,Superficial ulcerations,Mucosal stiffness on scope contact,,,,,
Linitis Plastica,Lumen / Shape Changes,,,,x,,,,,,,,,,x,,Tubular stomach,Narrowed gastric body,Poor distension of fundus/body,Funnel-shaped antrum,Pyloric narrowing,Pooling of fluid due to stiffness,,,,,,
Linitis Plastica,Distensibility With Insufflation,,,,x,,,,,,,,,,,,No distension,Minimal distension,Partial distension,Normal distension,,,,,,,,
Linitis Plastica,Biopsy,,,,x,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Linitis Plastica,Biopsy,,,,x,,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Lymphangiectasia,Presence,,,,,x,x,x,x,,,,,,,,Suspected,Indeterminate,Confirmed (by biopsy),Not seen,,,,,,,,
Lymphangiectasia,Distribution,,,,,x,x,x,x,,,,,,,,Focal,Multifocal,patchy,Diffuse,,,,,,,,
Lymphangiectasia,appearance,,,,,x,x,x,x,,,,,,x,,Whitish villi,diffuse whitening,White spots,plaques,Nodular,Vesicular,Edematous villi,Submucosal elevation,,,,
Lymphangiectasia,Number_estimate,,,,,x,x,x,x,,,,,,,,Single,Few (2–5),Several (6–20),Numerous,,,,,,,,
Lymphangiectasia,Size Estimate,,,,,x,x,x,x,,,,,,,,int_box mm,,,,,,,,,,,
Lymphangiectasia,Bleeding,,,,,x,x,x,x,,,,,,,,None,Oozing,Active bleeding,Stigmata of recent bleed,,,,,,,,
Lymphangiectasia,Biopsy,,,,,x,x,x,x,,,Taken,,,,,Yes,No,,,,,,,,,,
Lymphangiectasia,Biopsy,,,,,x,x,x,x,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Lymphangiectasia,Ancillary_tests_ordered,,,,,x,x,x,x,,,,,,x,,Capsule endoscopy,MR enterography,Lymphangiography,Lymphoscintigraphy,CT,MR,Serology (albumin),Stool fat,,,,
Lymphangiectasia,Associated_features,,,,,x,x,x,x,,,,,,x,,Protein-losing enteropathy,Hypoalbuminemia,Lymphopenia,Edema,Chylous effusion,,,,,,,
Lymphangiectasia,Recommended_followup,,,,,x,x,x,x,,,,,,x,,Pathology correlation,Imaging (enterography),Nutritional consult,Lymphangiography referral,Interventional radiology referral,,,,,,,
Ménétrier Disease,Fold Characteristics,,,,x,,,,,,,,,,,,Markedly thickened “giant” folds,Cerebriform / gyriform pattern,"Broad, edematous folds","Rigid, non-distensible folds","Tortuous, deeply grooved folds",,,,,,,
Ménétrier Disease,Distensibility With Insufflation,,,,x,,,,,,,,,,,,Poor distension (classic),Partial distension,Normal distension (atypical),,,,,,,,,
Ménétrier Disease,Surface Features,,,,x,,,,,,,,,,x,,Smooth mucosa,Edema,Erythema,Mucus pooling,Erosions,Shallow ulcerations,Patches of atrophic-looking mucosa,Friability,,,,
Ménétrier Disease,Lumen / Shape Effects,,,,x,,,,,,,,,,x,,Lumen narrowing in body,Prominent mucosal ridges,Mass-like fold appearance,Pseudopolypoid projections,Retained fluid/mucus,,,,,,,
Ménétrier Disease,Associated Findings,,,,x,,,,,,,,,,x,,Protein-losing appearance (excess mucus),Fundal polyps (rare),Duodenal folds normal,No antral involvement (typical pattern),,,,,,,,
Ménétrier Disease,Vascular Features,,,,x,,,,,,,,,,x,,Subtle dilated vessels,Blunted vascular pattern,No prominent varices,,,,,,,,,
Ménétrier Disease,Biopsy,,,,x,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Ménétrier Disease,Biopsy,,,,x,,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Nodule,Number,,x,x,x,x,,,,,,,,,,,Single,Multiple,Count: int_box,,,,,,,,,
Nodule,Size,,x,x,x,x,,,,,,,,,,,<5 mm,5-10 mm,>10 mm,Measured int_box mm,,,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Shape,,,,,Round,Oval,Irregular,,,,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Surface,,,,,Smooth,Nodular,Eroded,,,,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Color,,,,,Normal mucosa,Pale,Erythematous,White,Yellow,Discolored,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Elevation Type,,,,,Sessile,Semi-pedunculated,Pedunculated,,,,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Margins,,,,,Well-defined,Ill-defined,,,,,,,,,,
Nodule,Morphology,,x,x,x,x,,,,,,Visual Consistency,,,,,Firm,Soft,Indeterminate,,,,,,,,,
Nodule,Suspicious Features,High Risk,x,x,x,x,,,,,,,,,x,,Ulcer on top,Depressed center,Spontaneous bleeding,Irregular surface pattern,Vascular irregularity,,,,,,,
Nodule,Surrounding mucosa,,x,x,x,x,,,,,,,,,x,,Edema,Erythema,Similar nodules,erosion/ulcer,,,,,,,,
Nodule,Biopsy,,x,x,x,x,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Nodule,Biopsy,,x,x,x,x,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Parasites,Parasite Appearance,"Parasites_Table_1000x800.png
Practical Endoscopy Notes
    • Live worm visualization: Hookworm, Ascaris, Enterobius, Taenia.
    • Mucosal patterns suggestive, organism not seen: Giardia, Microsporidia, Cryptosporidium.
    • Colonoscopic nodules / polyps: Think Schistosoma, Trichuris.
    • Rectal itching + worms: Enterobius.
    • Immunocompromised host: Strongyloides, CMV overlap, protozoa
Parasites_4in1_1000x900.png",x,x,x,x,,,,,,,,,x,,"Suspected Ascaris - Long, pale, snake-like worm (10–30 cm)",Suspected Strongyloides larvae - Thin thread-like moving worm (<1 cm),Suspected Hookworm - Short curved worm attached to mucosa,Suspected Anisakis - Coiled single worm in stomach with edema,Suspected Tapeworm segment - Flat white segment / ribbon-like fragment,Suspected Giardia - Multiple tiny motile organisms,Unidentified worm-like structure,Parasite fragment / piece,Multiple parasites present,,,
Parasites,Removal,,x,x,x,x,,,,,,,,,,,No removal attempted,forceps,Roth net,Suction removal,Flushed with irrigation,Partial removal,Unable to retrieve,,,,,
Parasites,Removal,,x,x,x,x,,,,,,Specimen sent for identification,,,,,Yes,No,,,,,,,,,,
Perforation,Type of Defect,,x,,x,x,,,,,,,,,x,,Full-thickness perforation,Deep mural tear,Large transmural defect,Small pinpoint perforation,Linear tear with exposed tissue,Gaping defect with cavity,,,,,,
Perforation,Defect Appearance,,x,,x,x,,,,,,,,,x,,Irregular edges,Ragged margins,Clean margins,Ulcer-based perforation,Necrotic tissue,Exposed muscle layers,Cavitary space visible,Submucosal tunneling,,,,
Perforation,Surrounding Mucosa,,x,,x,x,,,,,,,,,x,,Inflamed / erythematous,Edematous,Friable,Ulcerated,Necrotic,Granulation tissue,Normal-appearing mucosa,,,,,
Perforation,Contents / Leakage,,x,,x,x,,,,,,,,,x,,Air bubbling,Saliva / GI contents,Pus,Blood,Food residue,Bilious fluid,No visible leakage,,,,,
Perforation,Size / Extent,,x,,x,x,,,,,,,,,,,<5 mm,5–10 mm,>10 mm,,,,,,,,,
Perforation,Suspected Etiology Pattern,,x,,x,x,,,,,,,,,,,Iatrogenic perforation (instrument/scope),Foreign body-related,Trauma,Post-dilation,Malignant perforation,Post-surgical leak,ulcer perforation,,,,,
Perforation,Intervention,,x,,x,x,,,,,,,,,,,No endoscopic closure (not appropriate),Through-the-scope clips,Over-the-scope clip (OTSC),Endoscopic suturing,Covered stent placement,Glue/sealant,Drainage catheter visualized (existing),Aborted due to risk,,,,
Perforation,Intervention,,x,,x,x,,,,,,Post-Procedure Notes,,,x,,Adequate closure achieved,Partial closure,Unable to close endoscopically,Immediate extraluminal leak testing performed,Imaging recommended,No complications,Minor bleeding,,,,,
Portal hypertensive gastropathy,Severity,"Mild PHG : mosaic pattern ± red dots)
Severe PHG : diffuse redness, cherry red spots, black-brown spots, active oozing)",,,x,,,,,,,,,,,,Mild,Severe,,,,,,,,,,
Portal hypertensive gastropathy,Mucosal Pattern,,,,x,,,,,,,,,,x,,Mosaic / snakeskin,Diffuse erythema,Cherry red spots,Edematous mucosa,,,,,,,,
Portal hypertensive gastropathy,Bleeding Features,,,,x,,,,,,,,,,x,,No bleeding,Oozing from mucosa,Adherent clots,,,,,,,,,
Portal hypertensive gastropathy,Extent / Distribution Pattern,,,,x,,,,,,,,,,,,Diffuse whole-stomach involvement,Predominantly body/fundus,Antral predominant,,,,,,,,,
Portal hypertensive gastropathy,Intervention,,,,x,,,,,,,,,,x,,Hemostasis (APC / coagulation),Hemospray,,,,,,,,,,
Portal hypertensive gastropathy,Intervention,,,,x,,,,,,,Post-Procedure Notes,,,x,,No complications,Minor contact bleeding,Significant oozing controlled,Recommend medical therapy optimization,,,,,,,,
Post Operative Appearance,Type of Anastomosis,,x,x,x,x,,,,,,,,,,,Esophagogastric (esophagectomy),Esophagojejunostomy (EJ),Gastric bypass — gastrojejunostomy (GJ),Gastroduodenostomy (Billroth I),Gastrojejunostomy (Billroth II),Other alphanum_box,,,,,,
Post Operative Appearance,Anastomosis Location,,x,x,x,x,,,,,,,,,,,Cervical,Thoracic,Gastric bypass — gastrojejunostomy (GJ),Not specified,Other alphanum_box,,,,,,,
Post Operative Appearance,Anastomosis Location,,x,x,x,x,,,,,,From Incisors,,,,,int_box cm,,,,,,,,,,,
Post Operative Appearance,Anastomotic Site Seen,,x,x,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Post Operative Appearance,General Appearance of Anastomosis,,x,x,x,x,,,,,,,,,x,,Healthy mucosa,Edematous,Erythematous,Ulcerated margin,Fibrinous slough,Exposed sutures/staples,Irregular mucosa,Nodular/folded edge,Dehiscence suspected,Pouch dilatation (if gastric conduit),,
Post Operative Appearance,Number of Lumen,,x,x,x,x,x,,x,x,,,,,,,1,2,3,4,,,,,,,,
Post Operative Appearance,Anastomotic Ulcer,,x,x,x,x,,,,,,Present,,,,,Yes,No,,,,,,,,,,
Post Operative Appearance,Anastomotic Ulcer,,x,x,x,x,,,,,,Size,,Subsection(Present=Yes),,,int_box mm,,,,,,,,,,,
Post Operative Appearance,Anastomotic Ulcer,,x,x,x,x,,,,,,Margins,,Subsection(Present=Yes),,,Clean,Raised,Irregular,,,,,,,,,
Post Operative Appearance,Anastomotic Ulcer,,x,x,x,x,,,,,,Base,,Subsection(Present=Yes),,,Clean,Slough,Necrotic,,,,,,,,,
Post Operative Appearance,Anastomotic Ulcer,,x,x,x,x,,,,,,Stigmata,,Subsection(Present=Yes),,,None,Visible Vessel,Clot,Active Bleeding,,,,,,,,
Post Operative Appearance,Anastomotic Leak,,x,x,x,x,,,,,,,,,x,,No leak,Suspicious defect,Visible defect / cavity,Purulent drainage,Bile staining,Air bubbles / communication,Stool contamination,,,,,
Post Operative Appearance,Anastomotic Stricture,,x,x,x,x,,,,,,Present,,,,,Yes,No,,,,,,,,,,
Post Operative Appearance,Anastomotic Stricture,,x,x,x,x,,,,,,Traversability,,Subsection(Present=Yes),,,Easy,Tight but passable,Impassable,,,,,,,,,
Post Operative Appearance,Anastomotic Stricture,,x,x,x,x,,,,,,Length,,Subsection(Present=Yes),,,int_box mm,,,,,,,,,,,
Post Operative Appearance,Granulation / Hyperplastic Tissue,,x,x,x,x,,,,,,,,,,,None,Granulation tissue,Raised proliferative tissue,Bleeding on contact,Post-surgical hyperplasia,,,,,,,
Post Operative Appearance,Staple/Suture Findings,,x,x,x,x,,,,,,,,,x,,Staples visible,Exposed staple line,Loose/eroded staple,Retained suture material,Bleeding from staple line,,,,,,,
Post Operative Appearance,Functional Findings,,x,x,x,x,,,,,,,,,x,,Normal transit,Delayed emptying,Significant residue above anastomosis,Refluxing bile,Food pooling in pouch,Pouch outlet narrowing,,,,,,
Post Operative Appearance,Interventions,,x,x,x,x,,,,,,,,,x,,Balloon dilation,Triamcinolone injection,Clip placement,OTSC,Suturing,Stent placement,Lavage of cavity,Hemostasis therapy,,,,
Post Operative Appearance,Interventions,,x,x,x,x,,,,,,Balloon Size,,Section(Interventions=Balloon dilation),,,int_box mm,,,,,,,,,,,
Post Operative Appearance,Biopsy,,x,x,x,x,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Post Operative Appearance,Biopsy,,x,x,x,x,,,,,,Biopsy Location,,Subsection(Taken=Yes),,,alphanum_box,,,,,,,,,,,
Pyloric Stenosis,Severity of Narrowing,"Mild : scope passes with ease
Moderate : scope passes with gentle pressure
Severe : scope cannot pass",,,x,,,,,,,,,,,,Mild,Moderate,Severe,,,,,,,,,
Pyloric Stenosis,Appearance of the Stenotic Segment,,,,x,,,,,,,,,,x,,Concentric narrowing,Irregular narrowing,Funnel-shaped deformity,Long narrowed channel,Short tight ring,Hourglass-type deformity,Scarring causing rigid lumen,,,,,
Pyloric Stenosis,Mucosal Features,,,,x,,,,,,,,,,x,,Erythema,Edema,Erosions,Ulceration,Fibrotic/pale mucosa,Nodularity,Mass-like features,Retained food/mucus proximal to narrowing,,,,
Pyloric Stenosis,Suspected Etiology,,,,x,,,,,,,,,,,,Peptic ulcer–related scarring,Inflammatory swelling,Edematous pylorus (acute setting),Neoplastic mass causing narrowing,Post-surgical stricture,Hypertrophic pyloric channel,Intraluminal obstruction,,,,,
Pyloric Stenosis,Biopsy,,,,x,,,,,,,,,,,,Yes,No,Avoided,,,,,,,,,
Pyloric Stenosis,Intervention / Management,,,,x,,,,,,,,,,x,,Balloon dilation performed,Multiple sequential balloon dilations,Unable to dilate,Stent placed,,,,,,,,
Pyloric Stenosis,Intervention / Management,,,,x,,,,,,,Post-Procedure Notes,,,,,No complications,Minor bleeding after dilation,Mucosal tear observed,Successful dilation,Partial improvement only,Recommend repeat dilation,Imaging recommended,,,,,
Schatzki Ring,Ring Characteristics,"Schatzki_Ring_477x475.png
web_schatzki_table_800x600.png",x,,,,,,,,,,,,x,,Thin mucosal ring ,Thickened ring,Complete Ring,Incomplete ring,Multiple rings,,,,,,,
Schatzki Ring,Lumen Diameter,,x,,,,,,,,,,,,,,20 mm (non-obstructing),13–19 mm (mild narrowing),11-13 mm (symptomatic range),<10 mm (tight ring),,,,,,,,
Schatzki Ring,Scope Passage,,x,,,,,,,,,,,,,,Easily passes,Passes with mild resistance,Passes with moderate resistance,Unable to pass,Passage avoided,,,,,,,
Schatzki Ring,Intervention Performed,,x,,,,,,,,,,,,x,,No intervention,Through-the-scope dilation,Bougie dilation,Biopsy to “break” ring,Cold disruption with forceps,EGD-only; plan for dilation later,,,,,,
Schatzki Ring,Intervention Performed,,x,,,,,,,,,Post-Procedure Notes,,,,,Ring fully disrupted,Partially disrupted,No change,Minor mucosal tear,Controlled bleeding,Recommend repeat dilation,,,,,,
Stricture,Other Location,,x,,,,x,,x,x,,,,,,,Post Cricoid Web,,,,,,,,,,,
